Page,Source,Device Category,Landing Page,Social Source Referral,Pageviews,Sessions,Connect to Provider (Goal 1 Completions),Avg. Time on Page,Hits,Session Duration,Users
/blog/falls-are-preventable-heres-how/?fbclid=IwAR3aPwsgJ-1CpD4M92boCYZ0sw3ulToJQF2IQ5aJIgpHp20wtipeNFq-DPA_aem_ASgaTHhItJeD10lxQXBr-ViHim_RHiNvj9w5U8yaYFuMftT9uZcNsEBfQZnKeMFlA_ku2X87duTl2mblkRDXRXfR1To7wjy2d42QcItl0RMcxVSh_5Qw09ai_fAnyEBhHrQ,m.facebook.com,mobile,/blog/falls-are-preventable-heres-how/?fbclid=IwAR3aPwsgJ-1CpD4M92boCYZ0sw3ulToJQF2IQ5aJIgpHp20wtipeNFq-DPA_aem_ASgaTHhItJeD10lxQXBr-ViHim_RHiNvj9w5U8yaYFuMftT9uZcNsEBfQZnKeMFlA_ku2X87duTl2mblkRDXRXfR1To7wjy2d42QcItl0RMcxVSh_5Qw09ai_fAnyEBhHrQ,Yes,3,1,0,22.50,3,45.00,1
/blog/falls-are-preventable-heres-how/?fbclid=IwAR3HSiy3JvQMMLPXxey0xMYRC_3FYG0bGdQgcC7pemOElsh9XqH82EHffyo,l.facebook.com,desktop,/blog/falls-are-preventable-heres-how/?fbclid=IwAR3HSiy3JvQMMLPXxey0xMYRC_3FYG0bGdQgcC7pemOElsh9XqH82EHffyo,Yes,3,3,0,0.00,3,0.00,1
/blog/home-modifications-for-comfort-safety/,(direct),desktop,/,No,3,0,0,5.50,3,0.00,2
/blog/home-modifications-for-comfort-safety/,cultivate.ngo,desktop,/,No,3,0,0,34.00,3,0.00,1
/blog/self-care-for-caregivers￼/,(direct),desktop,/blog/,No,3,0,0,31.00,3,0.00,2
/blog/seniors-and-roommates/,google,desktop,/blog/seniors-and-roommates/,No,3,3,0,0.00,3,0.00,3
/blog/seniors-and-roommates/,google,mobile,/blog/seniors-and-roommates/,No,3,3,0,0.00,3,0.00,3
/blog/service_area/denver-metro-area/page/2/,google,mobile,/blog/service_area/denver-metro-area/page/4/,No,3,0,0,40.67,3,0.00,1
/blog/what-transportation-options-do-seniors-have-if-they-cannot-drive/,google,desktop,/blog/what-transportation-options-do-seniors-have-if-they-cannot-drive/,No,3,3,0,0.00,3,0.00,2
/community-resources/,hs_email,desktop,/,No,3,0,0,31.67,3,0.00,1
/contact/,google,desktop,/community-resources/,No,3,0,0,180.00,3,0.00,3
